Squad,# Pl,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Gls_against,Sh_against,SoT_against,SoT%_against,Sh/90_against,SoT/90_against,G/Sh_against,G/SoT_against,PK_against,PKatt_against,sh_avg,sh_against_avg
Cerezo Osaka,24,34,43,427,126,29.5,12.56,3.71,0.1,0.33,1,1,35,460,151,32.8,13.53,4.44,0.07,0.2,5,5,13.325,12.969999999999999
Consadole Sapporo,27,34,46,495,150,30.3,14.56,4.41,0.09,0.3,1,2,58,424,171,40.3,12.47,5.03,0.13,0.33,2,3,13.325,12.969999999999999
FC Tokyo,32,34,46,443,158,35.7,13.03,4.65,0.09,0.27,4,5,41,422,147,34.8,12.41,4.32,0.09,0.26,3,3,13.325,12.969999999999999
Gamba Osaka,29,34,45,465,170,36.6,13.68,5,0.09,0.24,5,5,41,495,161,32.5,14.56,4.74,0.08,0.24,3,4,13.325,12.969999999999999
Nagoya Grampus,22,34,42,376,134,35.6,11.06,3.94,0.1,0.28,4,4,28,362,106,29.3,10.65,3.12,0.08,0.26,0,2,13.325,12.969999999999999
Kashima Antlers,30,34,52,605,187,30.9,17.79,5.5,0.08,0.27,1,1,43,366,133,36.3,10.76,3.91,0.11,0.31,2,2,13.325,12.969999999999999
Kashiwa Reysol,31,34,60,465,175,37.6,13.68,5.15,0.13,0.34,1,2,41,454,163,35.9,13.35,4.79,0.09,0.24,2,2,13.325,12.969999999999999
Kawasaki Frontale,22,34,87,621,251,40.4,18.26,7.38,0.13,0.32,7,8,30,347,111,32,10.21,3.26,0.08,0.25,2,2,13.325,12.969999999999999
Yokohama Marinos,30,34,65,529,185,35,15.56,5.44,0.12,0.34,2,2,56,421,157,37.3,12.38,4.62,0.12,0.33,4,5,13.325,12.969999999999999
Oita Trinita,31,34,35,338,114,33.7,9.94,3.35,0.1,0.3,1,2,45,447,148,33.1,13.15,4.35,0.1,0.29,2,2,13.325,12.969999999999999
Shimizu S-Pulse,30,34,47,463,160,34.6,13.62,4.71,0.1,0.29,1,1,69,508,191,37.6,14.94,5.62,0.13,0.35,3,3,13.325,12.969999999999999
Sagan Tosu,30,34,37,404,138,34.2,11.88,4.06,0.09,0.26,1,2,43,425,131,30.8,12.5,3.85,0.1,0.33,0,0,13.325,12.969999999999999
Sanfrecce Hiroshima,25,34,45,475,152,32,13.97,4.47,0.09,0.28,2,3,36,370,121,32.7,10.88,3.56,0.09,0.27,3,3,13.325,12.969999999999999
Shonan Bellmare,32,34,29,318,99,31.1,9.35,2.91,0.09,0.28,1,2,47,503,176,35,14.79,5.18,0.09,0.25,3,3,13.325,12.969999999999999
Urawa Reds,28,34,42,390,122,31.3,11.47,3.59,0.09,0.3,6,6,54,542,170,31.4,15.94,5,0.1,0.32,0,2,13.325,12.969999999999999
Vegalta Sendai,30,34,35,382,125,32.7,11.24,3.68,0.09,0.27,1,2,61,527,176,33.4,15.5,5.18,0.11,0.34,1,2,13.325,12.969999999999999
Vissel Kobe,26,34,50,466,166,35.6,13.71,4.88,0.1,0.29,2,2,57,435,161,37,12.79,4.74,0.12,0.32,5,5,13.325,12.969999999999999
Yokohama FC,32,34,37,352,119,33.8,10.35,3.5,0.1,0.3,1,1,58,506,157,31,14.88,4.62,0.11,0.36,2,3,13.325,12.969999999999999
