team_name,xG_perGame,goalsFor_perGame,xGA_perGame,goalsAgainst_perGame,img,team_jp_footballab,goals,goalsAgainst,xG,xGA,xG_perGame_avg,xGA_perGame_avg
Kawasaki Frontale,2.418,2.6,1.031,0.9,https://tmssl.akamaized.net/images/wappen/head/9598.png?lm=1458666682,川崎フロンターレ川崎F,88.4,30.6,82.212,35.053999999999995,1.3815,1.4085
Yokohama F. Marinos,1.81,1.9,1.357,1.6,https://tmssl.akamaized.net/images/wappen/head/3828.png?lm=1408789446,横浜F·マリノス横浜FM,64.6,54.400000000000006,61.54,46.138,1.3815,1.4085
Kashima Antlers,1.795,1.5,1.254,1.3,https://tmssl.akamaized.net/images/wappen/head/2241.png?lm=1411407883,鹿島アントラーズ鹿島,51,44.2,61.03,42.636,1.3815,1.4085
Consadole Sapporo,1.565,1.4,1.526,1.7,NA,NA,47.599999999999994,57.8,53.21,51.884,1.3815,1.4085
Vissel Kobe,1.515,1.5,1.417,1.7,https://tmssl.akamaized.net/images/wappen/head/3958.png?lm=1411407793,ヴィッセル神戸神戸,51,57.8,51.51,48.178000000000004,1.3815,1.4085
FC Tokyo,1.49,1.4,1.227,1.2,https://tmssl.akamaized.net/images/wappen/head/6631.png?lm=1416126823,FC東京FC東京,47.599999999999994,40.8,50.66,41.718,1.3815,1.4085
Gamba Osaka,1.454,1.3,1.675,1.2,https://tmssl.akamaized.net/images/wappen/head/596.png?lm=1411407417,ガンバ大阪G大阪,44.2,40.8,49.436,56.95,1.3815,1.4085
Urawa Reds,1.437,1.2,1.813,1.6,NA,NA,40.8,54.400000000000006,48.858000000000004,61.641999999999996,1.3815,1.4085
Sanfrecce Hiroshima,1.409,1.3,1.152,1.1,https://tmssl.akamaized.net/images/wappen/head/2697.png?lm=1455563761,サンフレッチェ広島広島,44.2,37.400000000000006,47.906,39.168,1.3815,1.4085
Kashiwa Reysol,1.354,1.8,1.531,1.2,https://tmssl.akamaized.net/images/wappen/head/6632.png?lm=1411406929,柏レイソル柏,61.2,40.8,46.036,52.053999999999995,1.3815,1.4085
Shimizu S-Pulse,1.282,1.4,1.603,2,https://tmssl.akamaized.net/images/wappen/head/1062.png?lm=1575994292,清水エスパルス清水,47.599999999999994,68,43.588,54.502,1.3815,1.4085
Cerezo Osaka,1.261,1.3,1.4,1,https://tmssl.akamaized.net/images/wappen/head/1022.png?lm=1509544250,セレッソ大阪C大阪,44.2,34,42.873999999999995,47.599999999999994,1.3815,1.4085
Sagan Tosu,1.249,1.1,1.296,1.3,https://tmssl.akamaized.net/images/wappen/head/22177.png?lm=1422087397,サガン鳥栖鳥栖,37.400000000000006,44.2,42.466,44.064,1.3815,1.4085
Vegalta Sendai,1.194,1,1.71,1.8,https://tmssl.akamaized.net/images/wappen/head/6395.png?lm=1411406988,ベガルタ仙台仙台,34,61.2,40.596,58.14,1.3815,1.4085
Nagoya Grampus,1.185,1.2,1.101,0.8,https://tmssl.akamaized.net/images/wappen/head/1066.png?lm=1411407326,名古屋グランパス名古屋,40.8,27.200000000000003,40.29,37.434,1.3815,1.4085
Oita Trinita,1.178,1,1.306,1.3,https://tmssl.akamaized.net/images/wappen/head/3935.png?lm=1415709596,大分トリニータ大分,34,44.2,40.052,44.404,1.3815,1.4085
Yokohama FC,1.098,1.1,1.777,1.7,https://tmssl.akamaized.net/images/wappen/head/943.png?lm=1458666707,横浜FC横浜FC,37.400000000000006,57.8,37.332,60.418,1.3815,1.4085
Shonan Bellmare,1.016,0.9,1.53,1.4,https://tmssl.akamaized.net/images/wappen/head/8457.png?lm=1415710258,湘南ベルマーレ湘南,30.6,47.599999999999994,34.544,52.02,1.3815,1.4085
