,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
vs Avispa Fukuoka,27,27.5,58.9,21,231,1890,21.0,25,19,23,2,3,28,1,1.19,0.90,2.10,1.10,2.00
vs Cerezo Osaka,26,27.6,52.1,18,198,1620,18.0,19,12,18,1,1,21,3,1.06,0.67,1.72,1.00,1.67
vs Consa Sapporo,23,27.5,42.8,20,220,1800,20.0,26,20,23,3,3,18,1,1.30,1.00,2.30,1.15,2.15
vs FC Tokyo,27,27.7,53.9,21,231,1890,21.0,27,19,27,0,0,17,3,1.29,0.90,2.19,1.29,2.19
vs Gamba Osaka,25,27.8,49.7,15,165,1350,15.0,14,11,13,1,2,9,0,0.93,0.73,1.67,0.87,1.60
vs Grampus,19,27.4,49.5,20,220,1800,20.0,11,9,11,0,0,32,2,0.55,0.45,1.00,0.55,1.00
vs Kashima Antlers,26,27.7,48.1,21,231,1890,21.0,22,14,20,2,2,19,0,1.05,0.67,1.71,0.95,1.62
vs Kashiwa Reysol,31,27.5,52.3,22,242,1980,22.0,31,23,31,0,1,32,1,1.41,1.05,2.45,1.41,2.45
vs Kawa Frontale,24,27.7,43.0,21,231,1890,21.0,15,9,15,0,0,11,1,0.71,0.43,1.14,0.71,1.14
vs Marinos,23,27.3,35.9,20,220,1800,20.0,16,10,13,3,3,19,1,0.80,0.50,1.30,0.65,1.15
vs Oita Trinita,29,27.4,50.7,21,231,1890,21.0,29,20,28,1,2,10,0,1.38,0.95,2.33,1.33,2.29
vs S-Pulse,24,27.4,59.0,21,231,1890,21.0,28,19,27,1,2,15,1,1.33,0.90,2.24,1.29,2.19
vs Sagan Tosu,26,27.9,49.4,20,220,1800,20.0,11,7,11,0,2,10,0,0.55,0.35,0.90,0.55,0.90
vs Sanfrecce,24,27.7,50.4,22,242,1980,22.0,21,13,19,2,2,19,1,0.95,0.59,1.55,0.86,1.45
vs Shonan Bellmare,31,27.4,57.8,22,242,1980,22.0,28,20,26,2,3,18,0,1.27,0.91,2.18,1.18,2.09
vs Urawa Reds,24,27.5,43.5,22,242,1980,22.0,23,13,23,0,0,13,0,1.05,0.59,1.64,1.05,1.64
vs Vegalta Sendai,26,27.7,57.6,21,231,1890,21.0,34,25,34,0,0,18,0,1.62,1.19,2.81,1.62,2.81
vs Vissel Kobe,26,27.6,45.1,20,220,1800,20.0,18,12,16,2,2,9,0,0.90,0.60,1.50,0.80,1.40
vs Vortis,28,27.5,44.2,22,242,1980,22.0,25,16,24,1,1,24,0,1.14,0.73,1.86,1.09,1.82
vs Yokohama FC,31,27.6,54.3,22,242,1980,22.0,50,32,45,5,7,10,0,2.27,1.45,3.73,2.05,3.50
