,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
Avispa Fukuoka,27,28.6,41.1,21,231,1890,21.0,21,12,19,2,4,27,1,1.00,0.57,1.57,0.90,1.48
Cerezo Osaka,26,29.0,47.9,18,198,1620,18.0,22,15,22,0,2,10,0,1.22,0.83,2.06,1.22,2.06
Consa Sapporo,23,27.7,57.3,20,220,1800,20.0,26,17,22,4,4,18,2,1.30,0.85,2.15,1.10,1.95
FC Tokyo,27,27.7,46.1,21,231,1890,21.0,28,20,27,1,1,21,1,1.33,0.95,2.29,1.29,2.24
Gamba Osaka,25,28.1,50.3,15,165,1350,15.0,7,4,5,2,2,10,0,0.47,0.27,0.73,0.33,0.60
Grampus,19,28.8,50.6,20,220,1800,20.0,21,12,21,0,0,18,0,1.05,0.60,1.65,1.05,1.65
Kashima Antlers,26,25.9,51.9,21,231,1890,21.0,34,23,33,1,2,30,3,1.62,1.10,2.71,1.57,2.67
Kashiwa Reysol,31,27.2,47.7,22,242,1980,22.0,22,17,20,2,3,19,1,1.00,0.77,1.77,0.91,1.68
Kawa Frontale,24,28.6,57.0,21,231,1890,21.0,49,36,48,1,1,10,0,2.33,1.71,4.05,2.29,4.00
Marinos,23,27.0,64.1,20,220,1800,20.0,36,23,34,2,2,24,1,1.80,1.15,2.95,1.70,2.85
Oita Trinita,29,28.5,49.3,21,231,1890,21.0,13,8,13,0,2,11,1,0.62,0.38,1.00,0.62,1.00
S-Pulse,24,27.8,41.0,21,231,1890,21.0,20,14,20,0,0,9,0,0.95,0.67,1.62,0.95,1.62
Sagan Tosu,26,25.7,50.6,20,220,1800,20.0,24,17,23,1,1,21,2,1.20,0.85,2.05,1.15,2.00
Sanfrecce,24,27.0,49.6,22,242,1980,22.0,24,15,22,2,2,11,0,1.09,0.68,1.77,1.00,1.68
Shonan Bellmare,31,26.2,42.2,22,242,1980,22.0,21,18,21,0,0,18,2,0.95,0.82,1.77,0.95,1.77
Urawa Reds,24,28.4,56.5,22,242,1980,22.0,26,19,22,4,5,17,0,1.18,0.86,2.05,1.00,1.86
Vegalta Sendai,26,27.8,42.4,21,231,1890,21.0,18,12,18,0,1,25,1,0.86,0.57,1.43,0.86,1.43
Vissel Kobe,26,27.2,54.9,20,220,1800,20.0,31,22,29,2,2,13,0,1.55,1.10,2.65,1.45,2.55
Vortis,28,25.9,55.8,22,242,1980,22.0,16,8,14,2,2,19,0,0.73,0.36,1.09,0.64,1.00
Yokohama FC,31,28.6,45.7,22,242,1980,22.0,14,11,14,0,0,21,0,0.64,0.50,1.14,0.64,1.14
