Squad,xG_perGame,goalsFor_perGame,xGA_perGame,goalsAgainst_perGame,matches,goals,goalsAgainst,xG,xGA,xG_perGame_avg,xGA_perGame_avg
Yokohama F. Marinos,1.91,1.8,1.14,0.8,20,36,16,38.199999999999996,22.799999999999997,1.1255000000000002,1.1975
Kawasaki Frontale,1.752,2.3,0.745,0.7,21,48.3,14.7,36.792,15.645,1.1255000000000002,1.1975
Consadole Sapporo,1.535,1.3,1.42,1.3,20,26,26,30.7,28.4,1.1255000000000002,1.1975
Kashima Antlers,1.479,1.6,0.984,1,21,33.6,21,31.059,20.664,1.1255000000000002,1.1975
Vissel Kobe,1.422,1.6,1.12,0.9,20,32,18,28.439999999999998,22.400000000000002,1.1255000000000002,1.1975
Kashiwa Reysol,1.4,1,1.147,1.4,22,22,30.799999999999997,30.799999999999997,25.234,1.1255000000000002,1.1975
Sanfrecce Hiroshima,1.392,1.1,1.034,1,22,24.200000000000003,22,30.624,22.748,1.1255000000000002,1.1975
Cerezo Osaka,1.357,1.2,1.377,1.1,18,21.599999999999998,19.8,24.426,24.786,1.1255000000000002,1.1975
Urawa Reds,1.268,1.2,1.194,1,22,26.4,22,27.896,26.268,1.1255000000000002,1.1975
FC Tokyo,1.133,1.3,1.302,1.3,21,27.3,27.3,23.793,27.342000000000002,1.1255000000000002,1.1975
Sagan Tosu,1.118,1.2,0.944,0.6,20,24,12,22.360000000000003,18.88,1.1255000000000002,1.1975
Shimizu S-Pulse,1.112,1,1.162,1.3,21,21,27.3,23.352000000000004,24.401999999999997,1.1255000000000002,1.1975
Avispa Fukuoka,1.085,1,1.286,1.2,21,21,25.2,22.785,27.006,1.1255000000000002,1.1975
Shonan Bellmare,1.061,1,1.35,1.3,22,22,28.6,23.342,29.700000000000003,1.1255000000000002,1.1975
Vegalta Sendai,1.014,0.9,1.589,1.6,21,18.900000000000002,33.6,21.294,33.369,1.1255000000000002,1.1975
Nagoya Grampus,0.933,1.1,0.73,0.6,20,22,12,18.66,14.6,1.1255000000000002,1.1975
Yokohama FC,0.931,0.6,2.043,2.3,22,13.2,50.599999999999994,20.482,44.946000000000005,1.1255000000000002,1.1975
Gamba Osaka,0.907,0.5,1.578,0.9,15,7.5,13.5,13.605,23.67,1.1255000000000002,1.1975
Tokushima Vortis,0.905,0.7,1.201,1.1,22,15.399999999999999,24.200000000000003,19.91,26.422,1.1255000000000002,1.1975
Oita Trinita,0.884,0.6,1.325,1.4,21,12.6,29.4,18.564,27.825,1.1255000000000002,1.1975
