,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,
Rk,Player,Nation,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Int,PKwon,PKcon,OG,Succ,Att,Succ%,#Pl,Megs,Tkl,Att,Tkl%,Past,Matches
1,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FW,Union Berlin,1.1,1,0,0,0,0,2,5,1,1,0,0,0,0,2,0.0,1,1,1,2,50.0,1,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,7.6,2,1,0,8,4,0,2,12,8,0,0,0,4,6,66.7,6,0,14,26,53.8,12,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,2.4,0,0,0,4,1,0,2,7,1,0,0,0,2,2,100.0,2,0,7,11,63.6,4,Matches
4,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,1.0,0,0,0,1,4,0,1,0,2,0,0,0,1,2,50.0,1,0,1,2,50.0,1,Matches
5,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,7.4,1,0,0,11,6,5,7,3,2,1,0,0,10,21,47.6,12,0,9,28,32.1,19,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,MF,Dortmund,15.2,1,0,0,9,17,0,0,12,20,0,0,1,3,4,75.0,4,0,25,35,71.4,10,Matches
7,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,7.7,2,0,0,4,9,1,2,6,7,0,1,0,3,4,75.0,3,0,18,28,64.3,10,Matches
8,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,11.9,0,0,0,6,3,0,18,12,11,0,0,0,2,4,50.0,2,0,15,20,75.0,5,Matches
9,Lucas Alario\Lucas-Alario,ar ARG,FW,Bayer,7.5,3,0,0,13,11,8,2,1,1,0,0,0,10,13,76.9,10,0,4,8,50.0,4,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,5.9,0,0,0,2,3,7,2,2,1,0,0,0,4,7,57.1,5,1,2,9,22.2,7,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,10.9,5,0,0,19,9,0,5,20,26,0,0,0,32,36,88.9,32,0,26,41,63.4,15,Matches
12,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Bayer,11.8,1,0,0,16,21,2,71,7,9,0,0,0,15,27,55.6,16,1,11,20,55.0,9,Matches
13,Ethan Ampadu\Ethan-Ampadu,wal WAL,MF,RB Leipzig,0.5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,0,0,1,1,100.0,0,Matches
14,Opoku Ampomah\Opoku-Ampomah,gh GHA,MF,Düsseldorf,3.3,1,0,0,12,3,1,10,5,2,0,0,0,14,28,50.0,17,0,9,16,56.3,7,Matches
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,15.5,1,0,0,33,29,7,19,6,3,0,0,0,19,24,79.2,19,2,10,18,55.6,8,Matches
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,16.0,7,0,0,41,25,0,21,35,31,2,0,0,15,20,75.0,17,1,52,75,69.3,23,Matches
17,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MF,Paderborn 07,11.7,1,0,0,8,20,1,26,9,6,0,0,0,26,46,56.5,28,1,17,28,60.7,11,Matches
