,,,,,,Assists,Assists,Assists,Assists,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Ast,xA,A-xA,KP,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Left,Right,FK,TB,CK,TI,1/3,PPA,CrsPA,Matches
1,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FW,Union Berlin,1.1,0,0.0,0.0,0,11,25,44.0,0,2,0.0,10,20,50.0,1,3,33.3,5,13,0,0,0,0,1,0,0,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,7.6,0,0.1,-0.1,2,275,338,81.4,3,8,37.5,172,198,86.9,100,132,75.8,48,244,4,0,0,18,35,4,0,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,2.4,0,0.0,0.0,2,87,102,85.3,6,9,66.7,74,79,93.7,7,14,50.0,11,87,3,0,0,0,4,1,1,Matches
4,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,1.0,0,0.0,0.0,0,57,66,86.4,0,0,,48,54,88.9,9,12,75.0,2,48,4,0,0,12,1,0,0,Matches
5,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,7.4,1,0.3,+0.7,5,118,159,74.2,4,11,36.4,99,127,78.0,15,21,71.4,24,109,0,0,0,6,4,2,1,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,MF,Dortmund,15.2,0,0.5,-0.5,1,989,1077,91.8,6,15,40.0,671,709,94.6,312,353,88.4,224,783,29,1,0,15,80,1,0,Matches
7,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,7.7,0,0.0,0.0,1,426,481,88.6,2,2,100.0,349,371,94.1,75,108,69.4,48,415,9,1,0,4,11,0,0,Matches
8,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,11.9,1,1.5,-0.5,13,971,1077,90.2,5,14,35.7,711,757,93.9,255,306,83.3,892,113,16,3,4,44,117,12,5,Matches
9,Lucas Alario\Lucas-Alario,ar ARG,FW,Bayer,7.5,1,1.9,-0.9,12,139,190,73.2,14,23,60.9,106,142,74.6,19,25,76.0,19,140,1,2,0,1,4,4,0,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,5.9,1,1.0,0.0,5,84,112,75.0,4,8,50.0,75,92,81.5,5,12,41.7,15,85,0,0,1,0,2,2,0,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,10.9,0,0.5,-0.5,11,865,959,90.2,15,26,57.7,602,645,93.3,248,288,86.1,70,853,32,1,3,0,102,7,0,Matches
12,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Bayer,11.8,1,3.5,-2.5,37,480,617,77.8,21,36,58.3,360,407,88.5,99,174,56.9,83,509,31,4,49,7,44,8,1,Matches
13,Ethan Ampadu\Ethan-Ampadu,wal WAL,MF,RB Leipzig,0.5,0,0.0,0.0,0,45,49,91.8,1,1,100.0,32,34,94.1,12,14,85.7,9,37,0,1,0,0,3,0,0,Matches
14,Opoku Ampomah\Opoku-Ampomah,gh GHA,MF,Düsseldorf,3.3,0,0.2,-0.2,6,40,69,58.0,0,3,0.0,31,48,64.6,9,18,50.0,12,53,2,0,1,1,5,2,0,Matches
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,15.5,0,0.6,-0.6,9,259,430,60.2,10,27,37.0,225,358,62.8,24,45,53.3,29,207,0,0,0,0,28,6,2,Matches
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,16.0,1,0.8,+0.2,15,514,705,72.9,15,34,44.1,395,487,81.1,104,184,56.5,137,467,11,2,1,2,58,17,2,Matches
17,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MF,Paderborn 07,11.7,1,1.7,-0.7,19,280,380,73.7,6,20,30.0,227,283,80.2,47,77,61.0,65,248,3,3,16,41,13,13,2,Matches
18,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Bayer,14.2,2,1.4,+0.6,16,845,979,86.3,6,24,25.0,682,740,92.2,157,215,73.0,156,776,21,0,0,1,83,4,0,Matches
19,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,15.8,2,3.9,-1.9,40,574,785,73.1,13,30,43.3,373,433,86.1,188,322,58.4,594,145,78,6,51,11,48,10,5,Matches
20,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,5.7,1,0.6,+0.4,11,207,290,71.4,1,14,7.1,178,205,86.8,28,71,39.4,201,17,7,0,9,52,7,5,3,Matches
21,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Mainz 05,1.7,0,0.1,-0.1,1,15,26,57.7,0,5,0.0,15,20,75.0,0,1,0.0,12,6,0,0,0,0,2,0,0,Matches
