,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Oliver Baumann\Oliver-Baumann,de GER,GK,Hoffenheim,17,17,1530,28,1.65,78,53,.641,8,3,6,4,23.5,2,2,0,0,Matches
2,Roman Bürki\Roman-Burki,ch SUI,GK,Dortmund,14,14,1241,23,1.67,44,24,.477,6,5,3,4,28.6,0,0,0,0,Matches
3,Koen Casteels\Koen-Casteels,be BEL,GK,Wolfsburg,9,9,810,10,1.11,39,29,.744,4,2,3,2,22.2,1,1,0,0,Matches
4,Mark Flekken\Mark-Flekken,nl NED,GK,Freiburg,9,9,810,14,1.56,64,48,.781,3,3,3,2,22.2,1,0,0,1,Matches
5,Rafał Gikiewicz\Rafal-Gikiewicz,pl POL,GK,Union Berlin,17,17,1530,24,1.41,88,64,.727,6,2,9,4,23.5,2,1,1,0,Matches
6,Péter Gulácsi\Peter-Gulacsi,hu HUN,GK,RB Leipzig,16,16,1440,18,1.13,57,39,.684,10,4,2,4,25.0,1,1,0,0,Matches
7,Marwin Hitz\Marwin-Hitz,ch SUI,GK,Dortmund,4,3,289,1,0.31,7,6,.857,2,1,0,3,100.0,0,0,0,0,Matches
8,Timo Horn\Timo-Horn,de GER,GK,Köln,17,17,1530,32,1.88,65,38,.508,5,2,10,3,17.6,5,4,1,0,Matches
9,Lukáš Hrádecký\Lukas-Hradecky,fi FIN,GK,Bayer,17,17,1530,21,1.24,64,42,.672,8,4,5,5,29.4,1,1,0,0,Matches
10,Jannik Huth\Jannik-Huth,de GER,GK,Paderborn 07,6,6,540,17,2.83,32,16,.469,0,1,5,0,0.0,1,1,0,0,Matches
11,Rune Jarstein\Rune-Jarstein,no NOR,GK,Hertha BSC,15,15,1287,23,1.61,69,53,.667,5,3,7,4,26.7,5,5,0,0,Matches
12,Tomáš Koubek\Tomas-Koubek,cz CZE,GK,Augsburg,17,17,1530,31,1.82,79,49,.608,6,5,6,4,23.5,1,0,1,0,Matches
13,Thomas Kraft\Thomas-Kraft,de GER,GK,Hertha BSC,2,2,180,4,2.00,12,8,.667,0,1,1,0,0.0,0,0,0,0,Matches
14,Florian Müller\Florian-Muller,de GER,GK,Mainz 05,3,3,270,12,4.00,22,11,.455,0,0,3,0,0.0,1,1,0,0,Matches
15,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,1,1,90,2,2.00,4,2,.500,1,0,0,0,0.0,0,0,0,0,Matches
16,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,17,17,1530,22,1.29,68,49,.676,10,3,4,5,29.4,4,3,1,0,Matches
17,Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,15,15,1325,18,1.22,62,48,.710,8,4,3,4,26.7,4,4,0,0,Matches
18,Jiří Pavlenka\Jiri-Pavlenka,cz CZE,GK,Werder Bremen,17,17,1530,41,2.41,95,56,.568,3,5,9,0,0.0,1,1,0,0,Matches
19,Pavao Pervan\Pavao-Pervan,at AUT,GK,Wolfsburg,8,8,720,8,1.00,36,29,.778,2,4,2,3,37.5,1,1,0,0,Matches
20,Frederik Rønnow\Frederik-Ronnow,dk DEN,GK,Eint Frankfurt,8,8,720,13,1.62,46,34,.717,2,2,4,1,12.5,1,1,0,0,Matches
21,Markus Schubert\Markus-Schubert,de GER,GK,Schalke 04,3,2,201,3,1.34,15,13,.800,0,2,0,1,50.0,2,2,0,0,Matches
22,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,8,8,652,8,1.10,28,20,.714,4,2,2,2,25.0,0,0,0,0,Matches
23,Dennis Smarsch\Dennis-Smarsch,de GER,GK,Hertha BSC,1,0,60,2,3.00,3,1,.333,0,0,0,0,,0,0,0,0,Matches
24,Yann Sommer\Yann-Sommer,ch SUI,GK,M'gladbach,17,17,1530,18,1.06,72,51,.750,11,2,4,5,29.4,1,0,1,0,Matches
25,Zack Steffen\Zack-Steffen,us USA,GK,Düsseldorf,17,17,1530,36,2.12,95,61,.621,4,3,10,2,11.8,2,1,1,0,Matches
26,Niclas Thiede\Niclas-Thiede,de GER,GK,Freiburg,1,0,68,1,1.32,4,3,.750,0,0,0,0,,0,0,0,0,Matches
27,Kevin Trapp\Kevin-Trapp,de GER,GK,Eint Frankfurt,6,6,540,8,1.33,27,19,.704,3,1,2,1,16.7,0,0,0,0,Matches
28,Sven Ulreich\Sven-Ulreich,de GER,GK,Bayern Munich,1,0,,0,,,,,0,0,0,0,,0,0,0,0,Matches
29,Felix Wiedwald\Felix-Wiedwald,de GER,GK,Eint Frankfurt,3,3,270,8,2.67,21,13,.619,0,0,3,0,0.0,0,0,0,0,Matches
30,Robin Zentner\Robin-Zentner,de GER,GK,Mainz 05,14,14,1260,27,1.93,82,57,.671,6,0,8,1,7.1,2,1,1,0,Matches
31,Leopold Zingerle\Leopold-Zingerle,de GER,GK,Paderborn 07,11,11,990,19,1.73,56,39,.661,3,2,6,2,18.2,2,2,0,0,Matches
