Rk,Player,Nation,Pos,Squad,90s,Gls,PK,PKatt,Sh,SoT,FK,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FW,Union Berlin,1.1,0,0,0,3,1,0,33.3,2.78,0.93,0.00,0.00,0.3,0.3,0.11,-0.3,-0.3,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,7.6,1,0,0,2,1,0,50.0,0.26,0.13,0.50,1.00,0.7,0.7,0.34,+0.3,+0.3,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,2.4,0,0,0,1,0,0,0.0,0.42,0.00,0.00,,0.0,0.0,0.02,0.0,0.0,Matches
4,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,1.0,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
5,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,7.4,4,0,0,18,9,0,50.0,2.42,1.21,0.22,0.44,3.9,3.9,0.22,+0.1,+0.1,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,MF,Dortmund,15.2,0,0,0,6,2,0,33.3,0.40,0.13,0.00,0.00,0.6,0.6,0.09,-0.6,-0.6,Matches
7,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,7.7,0,0,0,2,0,0,0.0,0.26,0.00,0.00,,0.1,0.1,0.06,-0.1,-0.1,Matches
8,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,11.9,1,0,0,10,5,5,50.0,0.84,0.42,0.10,0.20,0.5,0.5,0.05,+0.5,+0.5,Matches
9,Lucas Alario\Lucas-Alario,ar ARG,FW,Bayer,7.5,5,0,0,29,11,0,37.9,3.85,1.46,0.17,0.45,4.4,4.4,0.15,+0.6,+0.6,Matches
10,Paco Alcácer\Paco-Alcacer,es ESP,FW,Dortmund,5.9,5,0,0,15,7,0,46.7,2.56,1.19,0.33,0.71,3.7,3.7,0.25,+1.3,+1.3,Matches
11,Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Bayern Munich,10.9,0,0,0,9,3,0,33.3,0.83,0.28,0.00,0.00,1.1,1.1,0.13,-1.1,-1.1,Matches
12,Nadiem Amiri\Nadiem-Amiri,de GER,MF,Bayer,11.8,0,0,0,30,11,0,36.7,2.54,0.93,0.00,0.00,1.7,1.7,0.06,-1.7,-1.7,Matches
13,Ethan Ampadu\Ethan-Ampadu,wal WAL,MF,RB Leipzig,0.5,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
14,Opoku Ampomah\Opoku-Ampomah,gh GHA,MF,Düsseldorf,3.3,0,0,0,7,4,0,57.1,2.14,1.22,0.00,0.00,0.3,0.3,0.04,-0.3,-0.3,Matches
15,Sebastian Andersson\Sebastian-Andersson,se SWE,FW,Union Berlin,15.5,8,1,2,34,22,0,64.7,2.20,1.42,0.21,0.32,7.7,6.2,0.18,+0.3,+0.8,Matches
16,Robert Andrich\Robert-Andrich,de GER,MF,Union Berlin,16.0,0,0,0,28,4,2,14.3,1.75,0.25,0.00,0.00,0.8,0.8,0.03,-0.8,-0.8,Matches
17,Christopher Antwi-Adjei\Christopher-Antwi-Adjei,gh GHA,MF,Paderborn 07,11.7,0,0,0,24,8,0,33.3,2.06,0.69,0.00,0.00,2.2,2.2,0.09,-2.2,-2.2,Matches
18,Charles Aránguiz\Charles-Aranguiz,cl CHI,MF,Bayer,14.2,1,0,0,10,2,0,20.0,0.70,0.14,0.10,0.50,1.0,1.0,0.10,0.0,0.0,Matches
19,Maximilian Arnold\Maximilian-Arnold,de GER,MF,Wolfsburg,15.8,2,0,0,33,10,2,30.3,2.09,0.63,0.06,0.20,1.7,1.7,0.05,+0.3,+0.3,Matches
20,Ludwig Augustinsson\Ludwig-Augustinsson,se SWE,DF,Werder Bremen,5.7,0,0,0,1,0,0,0.0,0.17,0.00,0.00,,0.1,0.1,0.08,-0.1,-0.1,Matches
21,Taiwo Awoniyi\Taiwo-Awoniyi,ng NGA,FW,Mainz 05,1.7,0,0,0,5,1,0,20.0,3.00,0.60,0.00,0.00,0.7,0.7,0.13,-0.7,-0.7,Matches
22,Kaan Ayhan\Kaan-Ayhan,tr TUR,DFMF,Düsseldorf,15.9,1,0,0,17,3,4,17.6,1.07,0.19,0.06,0.33,1.7,1.7,0.10,-0.7,-0.7,Matches
23,Matthias Bader\Matthias-Bader,de GER,DF,Köln,0.1,0,0,0,0,0,0,,0.00,0.00,,,0.0,0.0,,0.0,0.0,Matches
24,Daniel Baier\Daniel-Baier,de GER,MF,Augsburg,11.7,1,0,0,11,1,0,9.1,0.94,0.09,0.09,1.00,0.4,0.4,0.04,+0.6,+0.6,Matches
25,Leon Bailey\Leon-Bailey,jm JAM,FW,Bayer,5.0,3,0,0,14,4,0,28.6,2.78,0.79,0.21,0.75,1.8,1.8,0.13,+1.2,+1.2,Matches
