,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Suleiman Abdullahi\Suleiman-Abdullahi,ng NGA,FW,Union Berlin,22,1996,4,1,97,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.31,0.00,0.31,0.31,0.31,Matches
2,David Abraham\David-Abraham,ar ARG,DF,Eint Frankfurt,33,1986,8,7,686,1,0,0,0,2,1,0.13,0.00,0.13,0.13,0.13,0.7,0.7,0.1,0.09,0.01,0.10,0.09,0.10,Matches
3,Amir Abrashi\Amir-Abrashi,al ALB,MF,Freiburg,29,1990,5,3,215,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.02,0.03,0.01,0.03,Matches
4,Tyler Adams\Tyler-Adams,us USA,MF,RB Leipzig,20,1999,1,1,86,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Sargis Adamyan\Sargis-Adamyan,am ARM,FWMF,Hoffenheim,26,1993,12,6,670,4,1,0,0,1,0,0.54,0.13,0.67,0.54,0.67,3.9,3.9,0.3,0.53,0.04,0.57,0.53,0.57,Matches
6,Manuel Akanji\Manuel-Akanji,ch SUI,MF,Dortmund,24,1995,16,15,1366,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.5,0.04,0.03,0.07,0.04,0.07,Matches
7,Kevin Akpoguma\Kevin-Akpoguma,de GER,DF,Hoffenheim,24,1995,10,8,694,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.01,0.02,0.02,0.02,Matches
8,David Alaba\David-Alaba,at AUT,DFMF,Bayern Munich,27,1992,12,11,1068,1,1,0,0,0,0,0.08,0.08,0.17,0.08,0.17,0.5,0.5,1.5,0.04,0.12,0.16,0.04,0.16,Matches
9,Lucas Alario\Lucas-Alario,ar ARG,FW,Bayer,26,1992,13,7,678,5,1,0,0,3,0,0.66,0.13,0.80,0.66,0.80,4.4,4.4,1.9,0.58,0.25,0.83,0.58,0.83,Matches
