,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Augsburg,25,17,187,1530,28,18,3,4,36,2,1.65,1.06,2.71,1.47,2.53,25.0,21.9,16.2,1.47,0.95,2.42,1.29,2.24
Bayer,21,17,187,1530,20,18,0,0,30,5,1.18,1.06,2.24,1.18,2.24,27.3,27.3,22.8,1.61,1.34,2.95,1.61,2.95
Bayern Munich,24,17,187,1530,45,37,3,3,36,2,2.65,2.18,4.82,2.47,4.65,43.6,41.4,33.2,2.57,1.95,4.52,2.43,4.38
Dortmund,22,17,187,1530,41,37,1,1,18,1,2.41,2.18,4.59,2.35,4.53,28.7,28.2,22.9,1.69,1.35,3.03,1.66,3.01
Düsseldorf,22,17,187,1530,18,13,3,3,44,0,1.06,0.76,1.82,0.88,1.65,16.4,14.1,10.2,0.96,0.60,1.57,0.83,1.43
Eint Frankfurt,26,17,187,1530,26,20,1,1,35,3,1.53,1.18,2.71,1.47,2.65,25.7,25.0,18.0,1.51,1.06,2.57,1.47,2.53
Freiburg,24,17,187,1530,25,16,4,5,21,2,1.47,0.94,2.41,1.24,2.18,21.4,17.6,13.5,1.26,0.79,2.05,1.04,1.83
Hertha BSC,26,17,187,1530,22,19,0,0,37,2,1.29,1.12,2.41,1.29,2.41,18.0,18.0,13.7,1.06,0.81,1.87,1.06,1.87
Hoffenheim,24,17,187,1530,25,19,1,1,30,0,1.47,1.12,2.59,1.41,2.53,22.7,21.9,15.6,1.33,0.91,2.25,1.29,2.20
Köln,24,17,187,1530,19,16,0,0,44,3,1.12,0.94,2.06,1.12,2.06,20.0,20.0,14.6,1.18,0.86,2.03,1.18,2.03
M'gladbach,22,17,187,1530,33,26,2,3,38,1,1.94,1.53,3.47,1.82,3.35,33.9,31.5,25.0,1.99,1.47,3.46,1.86,3.32
Mainz 05,22,17,187,1530,23,19,1,1,34,2,1.35,1.12,2.47,1.29,2.41,22.8,22.1,16.8,1.34,0.99,2.33,1.30,2.29
Paderborn 07,22,17,187,1530,20,17,0,2,37,0,1.18,1.00,2.18,1.18,2.18,20.5,19.0,13.4,1.21,0.79,1.99,1.12,1.90
RB Leipzig,25,17,187,1530,48,31,5,5,25,1,2.82,1.82,4.65,2.53,4.35,39.7,36.2,27.0,2.34,1.59,3.93,2.13,3.72
Schalke 04,24,17,187,1530,26,17,1,1,30,1,1.53,1.00,2.53,1.47,2.47,22.0,21.2,15.5,1.29,0.91,2.21,1.25,2.16
Union Berlin,24,17,187,1530,19,11,4,5,34,3,1.12,0.65,1.76,0.88,1.53,21.9,18.1,12.4,1.29,0.73,2.02,1.06,1.80
Werder Bremen,26,17,187,1530,23,17,3,5,36,2,1.35,1.00,2.35,1.18,2.18,23.8,20.2,14.7,1.40,0.87,2.27,1.19,2.05
Wolfsburg,22,17,187,1530,18,13,1,1,32,1,1.06,0.76,1.82,1.00,1.76,22.7,21.9,15.9,1.33,0.94,2.27,1.29,2.22
