,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,8.7,9,0,1,1,0,7.2,0.29,-1.8,-0.21,54,133,40.6,231,47,44.6,38.5,64,46.9,40.1,63,4,6.3,5,0.57,12.5,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,12.3,5,0,0,0,0,8.0,0.25,+3.0,+0.25,63,115,54.8,308,53,28.6,33.5,70,38.6,38.7,50,2,4.0,13,1.06,16.4,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23.0,30,2,0,5,2,25.1,0.38,-2.9,-0.12,97,241,40.2,620,100,28.2,32.2,145,45.5,40.1,116,7,6.0,17,0.74,16.3,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,3.8,7,0,0,0,0,4.2,0.28,-2.8,-0.73,19,47,40.4,104,13,27.9,31.5,28,64.3,48.2,24,1,4.2,1,0.26,12.4,Matches
5,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,23.0,34,0,0,8,1,40.6,0.34,+7.6,+0.33,185,484,38.2,435,64,65.5,49.1,216,92.1,66.5,177,14,7.9,9,0.39,12.4,Matches
6,Ederson\Ederson,br BRA,GK,Manchester City,19.1,20,2,1,3,1,19.4,0.34,+0.4,+0.02,69,121,57.0,448,97,21.0,29.5,78,34.6,34.2,65,7,10.8,18,0.94,18.7,Matches
7,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,8.5,10,1,0,1,0,10.6,0.30,+0.6,+0.07,76,197,38.6,193,35,71.0,50.5,62,96.8,66.4,56,2,3.6,2,0.23,12.1,Matches
8,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,0.2,1,1,0,0,0,1.3,1.29,+0.3,+1.17,1,3,33.3,7,2,42.9,29.7,3,0.0,16.0,4,0,0.0,0,0.00,7.0,Matches
9,Ben Foster\Ben-Foster,eng ENG,GK,Watford,23.0,34,5,2,3,2,37.4,0.38,+5.4,+0.23,184,592,31.1,557,74,77.9,54.1,170,92.9,68.1,158,16,10.1,22,0.96,15.2,Matches
10,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,16.9,23,3,1,2,1,23.3,0.32,+1.3,+0.08,75,260,28.8,363,56,45.7,38.8,131,71.8,57.8,114,8,7.0,12,0.71,14.2,Matches
11,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,22.0,25,1,1,6,1,23.7,0.31,-0.3,-0.01,67,182,36.8,394,97,33.5,34.8,152,32.9,35.1,111,5,4.5,7,0.32,13.1,Matches
12,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,21.0,22,0,0,4,1,27.6,0.35,+6.6,+0.32,143,435,32.9,471,85,60.9,45.8,172,86.0,63.7,135,10,7.4,9,0.43,13.4,Matches
13,Angus Gunn\Angus-Gunn,eng ENG,GK,Southampton,10.0,25,2,1,1,0,19.0,0.36,-6.0,-0.60,46,190,24.2,177,24,68.9,50.4,79,86.1,60.7,62,5,8.1,8,0.80,16.7,Matches
14,Tom Heaton\Tom-Heaton,eng ENG,GK,Aston Villa,19.9,35,3,1,7,1,35.0,0.36,+1.0,+0.05,129,384,33.6,418,95,57.7,45.9,196,73.0,56.6,156,11,7.1,8,0.40,11.8,Matches
15,Dean Henderson\Dean-Henderson,eng ENG,GK,Sheffield Utd,22.0,19,0,0,2,0,22.1,0.30,+3.1,+0.14,141,529,26.7,482,62,78.2,58.4,157,96.8,75.9,107,8,7.5,10,0.45,13.5,Matches
16,Wayne Hennessey\Wayne-Hennessey,wal WAL,GK,Crystal Palace,2.0,4,0,0,2,0,4.5,0.30,+0.5,+0.23,22,56,39.3,43,4,81.4,55.0,23,91.3,69.6,14,1,7.1,0,0.00,13.7,Matches
17,Tim Krul\Tim-Krul,nl NED,GK,Norwich City,21.0,38,3,1,9,2,37.3,0.36,+1.3,+0.06,140,431,32.5,663,100,49.9,41.6,178,56.2,46.4,145,10,6.9,8,0.38,14.4,Matches
18,Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,23.0,32,4,0,4,0,34.9,0.32,+2.9,+0.13,70,246,28.5,577,146,28.6,32.0,199,40.7,38.0,147,15,10.2,12,0.52,13.3,Matches
19,Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,6.1,8,0,0,0,0,11.8,0.32,+3.8,+0.62,37,72,51.4,145,33,37.9,35.9,40,42.5,37.3,37,4,10.8,2,0.33,11.5,Matches
20,David Martin\David-Martin,eng ENG,GK,West Ham,4.8,6,0,0,1,0,6.9,0.35,+0.9,+0.18,39,106,36.8,80,10,80.0,55.3,44,95.5,65.4,38,0,0.0,0,0.00,9.0,Matches
21,Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,13.0,17,1,0,3,0,20.6,0.38,+3.6,+0.27,85,245,34.7,253,33,68.8,50.5,83,85.5,62.9,103,9,8.7,4,0.31,11.8,Matches
22,Michael McGovern\Michael-McGovern,nir NIR,GK,Norwich City,1.8,6,0,0,0,0,4.4,0.45,-1.6,-0.88,9,29,31.0,37,10,54.1,38.4,14,64.3,45.8,12,0,0.0,1,0.57,15.4,Matches
23,Simon Moore\Simon-Moore,eng ENG,GK,Sheffield Utd,1.0,3,0,0,0,0,1.7,0.34,-1.3,-1.31,3,19,15.8,17,2,82.4,63.7,5,100.0,77.6,0,0,,0,0.00,14.3,Matches
24,Ørjan Nyland\Orjan-Nyland,no NOR,GK,Aston Villa,2.0,8,0,0,0,0,5.0,0.33,-3.0,-1.53,16,39,41.0,41,10,48.8,43.5,22,86.4,59.8,9,0,0.0,0,0.00,7.9,Matches
25,Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,23.0,30,0,0,5,1,25.2,0.33,-3.8,-0.17,157,338,46.4,344,76,55.5,43.1,183,80.3,53.8,162,5,3.1,6,0.26,12.4,Matches
26,Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,23.0,33,1,3,4,2,31.7,0.35,+0.7,+0.03,209,523,40.0,676,102,61.2,49.3,158,69.0,58.3,139,10,7.2,16,0.70,15.2,Matches
27,Nick Pope\Nick-Pope,eng ENG,GK,Burnley,22.0,37,2,0,3,1,28.7,0.31,-7.3,-0.33,175,544,32.2,510,89,74.9,55.0,175,92.6,71.3,160,21,13.1,28,1.27,17.3,Matches
28,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,22.0,33,3,1,4,0,34.6,0.35,+1.6,+0.07,101,354,28.5,508,126,47.0,41.3,181,63.5,54.4,133,10,7.5,12,0.55,14.5,Matches
29,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,1.0,1,0,0,1,0,1.1,0.57,+0.1,+0.13,12,20,60.0,17,3,82.4,54.5,6,100.0,67.2,9,0,0.0,1,1.00,15.3,Matches
30,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,1.0,1,0,0,0,0,0.3,0.17,-0.7,-0.66,13,17,76.5,20,2,65.0,43.9,6,66.7,47.5,3,0,0.0,1,1.00,16.4,Matches
31,Roberto\Roberto,es ESP,GK,West Ham,7.6,17,1,1,3,1,17.2,0.34,+1.2,+0.16,49,167,29.3,192,26,67.2,49.0,40,95.0,66.0,46,3,6.5,5,0.66,13.1,Matches
32,Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,23.0,31,2,0,4,2,36.0,0.34,+7.0,+0.31,153,289,52.9,736,149,31.8,32.4,158,34.8,33.6,102,8,7.8,9,0.39,13.6,Matches
33,Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,22.0,21,4,0,3,0,24.8,0.32,+3.8,+0.17,136,279,48.7,531,93,38.6,36.6,154,48.1,41.5,118,3,2.5,14,0.64,15.5,Matches
34,Jed Steer\Jed-Steer,eng ENG,GK,Aston Villa,0.1,0,0,0,0,0,0.0,,0.0,0.00,0,1,0.0,1,0,0.0,26.0,1,100.0,70.0,0,0,,0,0.00,,Matches
35,Mark Travers\Mark-Travers,ie IRL,GK,Bournemouth,1.0,3,0,0,0,0,2.1,0.41,-0.9,-0.94,7,13,53.8,24,5,33.3,34.5,8,62.5,45.4,7,0,0.0,0,0.00,14.9,Matches
