,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Adrián\Adrian,es ESP,GK,Liverpool,10,8,783,9,1.03,25,16,.640,8,0,0,2,25.0,0,0,0,0,Matches
2,Alisson\Alisson,br BRA,GK,Liverpool,13,13,1104,5,0.41,30,25,.833,12,1,0,6,46.2,0,0,0,0,Matches
3,Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,23,23,2070,30,1.30,67,41,.552,12,3,8,5,21.7,2,2,0,0,Matches
4,Claudio Bravo\Claudio-Bravo,cl CHI,GK,Manchester City,4,3,346,7,1.82,15,8,.533,2,0,1,1,33.3,0,0,0,0,Matches
5,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,23,23,2070,34,1.48,121,88,.719,8,5,10,6,26.1,0,0,0,0,Matches
6,Ederson\Ederson,br BRA,GK,Manchester City,20,20,1721,20,1.05,59,39,.661,13,3,4,6,30.0,2,2,0,0,Matches
7,Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,10,10,769,10,1.17,35,26,.714,4,3,3,4,40.0,2,1,1,0,Matches
8,Ralf Fährmann\Ralf-Fahrmann,de GER,GK,Norwich City,1,1,22,1,4.09,1,1,.000,0,0,1,0,0.0,1,1,0,0,Matches
9,Ben Foster\Ben-Foster,eng ENG,GK,Watford,23,23,2070,34,1.48,100,69,.660,5,8,10,8,34.8,5,5,0,0,Matches
10,Paulo Gazzaniga\Paulo-Gazzaniga,ar ARG,GK,Tottenham,17,16,1522,23,1.36,76,56,.697,5,5,6,2,12.5,4,3,1,0,Matches
11,David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,22,22,1980,25,1.14,80,57,.688,9,7,6,4,18.2,1,1,0,0,Matches
12,Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,21,21,1890,22,1.05,83,61,.735,7,8,6,6,28.6,1,0,0,1,Matches
