,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,25,20,220,1800,26,16,2,2,52,1,1.30,0.80,2.10,1.20,2.00,25.9,24.4,15.5,1.30,0.78,2.07,1.22,2.00
Aston Villa,23,20,220,1800,25,23,0,2,37,1,1.25,1.15,2.40,1.25,2.40,23.2,21.5,17.3,1.16,0.87,2.02,1.08,1.94
Bournemouth,23,20,220,1800,20,13,1,1,43,1,1.00,0.65,1.65,0.95,1.60,20.9,20.1,13.7,1.04,0.69,1.73,1.01,1.69
Brighton,23,20,220,1800,22,15,1,1,30,2,1.10,0.75,1.85,1.05,1.80,23.6,22.8,16.2,1.18,0.81,1.99,1.14,1.95
Burnley,20,20,220,1800,22,17,1,1,36,0,1.10,0.85,1.95,1.05,1.90,20.4,19.7,12.4,1.02,0.62,1.64,0.98,1.60
Chelsea,23,20,220,1800,35,25,2,2,37,0,1.75,1.25,3.00,1.65,2.90,33.6,32.1,24.0,1.68,1.20,2.88,1.60,2.80
Crystal Palace,22,20,220,1800,17,11,3,3,32,1,0.85,0.55,1.40,0.70,1.25,18.6,16.4,13.3,0.93,0.67,1.60,0.82,1.49
Everton,22,20,220,1800,21,17,0,0,39,2,1.05,0.85,1.90,1.05,1.90,26.2,26.2,16.5,1.31,0.82,2.13,1.31,2.13
Leicester City,20,20,220,1800,41,30,3,4,21,0,2.05,1.50,3.55,1.90,3.40,32.5,29.5,22.8,1.63,1.14,2.77,1.47,2.62
Liverpool,21,19,209,1710,45,36,4,4,20,1,2.37,1.89,4.26,2.16,4.05,35.7,32.7,25.5,1.88,1.34,3.23,1.72,3.07
Manchester City,22,20,220,1800,54,38,3,4,41,2,2.70,1.90,4.60,2.55,4.45,48.2,45.1,34.8,2.41,1.74,4.15,2.26,4.00
Manchester Utd,25,20,220,1800,30,20,4,8,41,0,1.50,1.00,2.50,1.30,2.30,31.6,25.6,19.9,1.58,1.00,2.58,1.28,2.28
Newcastle Utd,24,20,220,1800,20,15,0,0,31,2,1.00,0.75,1.75,1.00,1.75,16.9,16.9,12.4,0.85,0.62,1.47,0.85,1.47
Norwich City,23,20,220,1800,20,15,0,0,39,0,1.00,0.75,1.75,1.00,1.75,23.3,23.3,16.9,1.16,0.84,2.01,1.16,2.01
Sheffield Utd,21,20,220,1800,21,15,1,1,40,1,1.05,0.75,1.80,1.00,1.75,24.2,23.4,18.0,1.21,0.90,2.11,1.17,2.07
Southampton,21,20,220,1800,24,11,1,2,28,2,1.20,0.55,1.75,1.15,1.70,28.0,26.3,15.3,1.40,0.77,2.17,1.32,2.08
Tottenham,26,20,220,1800,35,25,2,2,47,3,1.75,1.25,3.00,1.65,2.90,25.6,24.1,18.1,1.28,0.91,2.19,1.21,2.11
Watford,24,20,220,1800,15,7,4,4,48,2,0.75,0.35,1.10,0.55,0.90,24.1,21.0,15.0,1.20,0.75,1.95,1.05,1.80
West Ham,24,19,209,1710,21,16,1,1,42,1,1.11,0.84,1.95,1.05,1.89,21.1,20.3,15.9,1.11,0.84,1.95,1.07,1.91
Wolves,19,20,220,1800,27,20,2,2,38,2,1.35,1.00,2.35,1.25,2.25,25.6,24.1,19.4,1.28,0.97,2.25,1.20,2.17
