,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,25,21,231,1890,28,16,2,2,54,1,1.33,0.76,2.10,1.24,2.00,27.4,25.8,16.0,1.30,0.76,2.07,1.23,1.99
Aston Villa,23,21,231,1890,27,24,0,2,38,1,1.29,1.14,2.43,1.29,2.43,24.2,22.5,17.9,1.15,0.85,2.00,1.07,1.93
Bournemouth,23,21,231,1890,20,13,1,1,45,1,0.95,0.62,1.57,0.90,1.52,20.9,20.1,13.7,0.99,0.65,1.65,0.96,1.61
Brighton,23,21,231,1890,23,16,1,1,32,2,1.10,0.76,1.86,1.05,1.81,24.5,23.7,16.8,1.17,0.80,1.97,1.13,1.93
Burnley,20,21,231,1890,23,18,1,1,37,0,1.10,0.86,1.95,1.05,1.90,22.5,21.7,13.5,1.07,0.64,1.72,1.04,1.68
Chelsea,23,21,231,1890,36,25,2,2,40,0,1.71,1.19,2.90,1.62,2.81,35.2,33.7,24.7,1.68,1.18,2.85,1.60,2.78
Crystal Palace,23,21,231,1890,18,12,3,3,32,1,0.86,0.57,1.43,0.71,1.29,20.2,18.0,13.9,0.96,0.66,1.62,0.86,1.52
Everton,22,21,231,1890,22,17,0,0,43,2,1.05,0.81,1.86,1.05,1.86,27.3,27.3,16.8,1.30,0.80,2.10,1.30,2.10
Leicester City,20,21,231,1890,44,32,3,4,22,0,2.10,1.52,3.62,1.95,3.48,34.2,31.1,23.8,1.63,1.14,2.76,1.48,2.62
Liverpool,22,20,220,1800,47,37,4,4,20,1,2.35,1.85,4.20,2.15,4.00,35.7,32.7,25.5,1.79,1.28,3.06,1.64,2.91
Manchester City,22,21,231,1890,56,40,3,4,41,2,2.67,1.90,4.57,2.52,4.43,49.8,46.7,36.4,2.37,1.73,4.10,2.22,3.96
Manchester Utd,25,21,231,1890,30,20,4,8,41,0,1.43,0.95,2.38,1.24,2.19,32.5,26.5,20.7,1.55,0.99,2.53,1.26,2.25
Newcastle Utd,24,21,231,1890,20,15,0,0,32,2,0.95,0.71,1.67,0.95,1.67,17.7,17.7,13.0,0.84,0.62,1.46,0.84,1.46
Norwich City,24,21,231,1890,21,16,0,0,44,0,1.00,0.76,1.76,1.00,1.76,24.9,24.9,17.7,1.18,0.84,2.03,1.18,2.03
Sheffield Utd,21,21,231,1890,21,15,1,1,40,1,1.00,0.71,1.71,0.95,1.67,24.2,23.4,18.0,1.15,0.86,2.01,1.12,1.97
Southampton,21,21,231,1890,25,12,1,2,31,2,1.19,0.57,1.76,1.14,1.71,29.4,27.7,16.7,1.40,0.79,2.19,1.32,2.11
Tottenham,26,21,231,1890,35,25,2,2,51,3,1.67,1.19,2.86,1.57,2.76,26.3,24.8,18.3,1.25,0.87,2.12,1.18,2.05
Watford,24,21,231,1890,17,9,4,4,51,3,0.81,0.43,1.24,0.62,1.05,24.9,21.9,15.8,1.19,0.75,1.94,1.04,1.80
West Ham,24,20,220,1800,25,19,2,2,43,1,1.25,0.95,2.20,1.15,2.10,21.1,20.3,15.9,1.05,0.79,1.85,1.02,1.81
Wolves,19,21,231,1890,28,21,2,2,39,2,1.33,1.00,2.33,1.24,2.24,26.9,25.4,20.6,1.28,0.98,2.26,1.21,2.19
