Team,W,D,L,Pts,GF,GA,GD,xG,xGA,xGDiff
Kawasaki Frontale,28,8,2,92,81,28,53,64.98,35.11,29.87
Yokohama F. Marinos,24,7,7,79,82,35,47,71.29,44.31,26.98
Vissel Kobe,21,10,7,73,62,36,26,50.65,43.4,7.25
Kashima Antlers,21,6,11,69,62,36,26,60.23,36.59,23.64
Nagoya Grampus,19,9,10,66,44,30,14,38.08,36.1,1.98
Urawa Reds,18,9,10,63,45,38,7,48.79,44.8,3.99
Sagan Tosu,16,11,11,59,43,35,8,44.16,43.66,0.5
Avispa Fukuoka,14,12,12,54,42,37,5,42.75,41.76,0.99
FC Tokyo,15,8,15,53,49,53,-4,47.16,49.67,-2.51
Consadole Sapporo,14,9,15,51,48,50,-2,58.14,54,4.14
Sanfrecce Hiroshima,12,13,13,49,44,42,2,48.72,43.89,4.83
Cerezo Osaka,13,9,16,48,47,51,-4,54.45,49.48,4.97
Gamba Osaka,12,8,18,44,33,49,-16,44.12,62.59,-18.47
Shimizu S-Pulse,10,12,16,42,37,54,-17,42.52,43.13,-0.61
Kashiwa Reysol,12,5,21,41,37,56,-19,49.17,46.02,3.15
Shonan Bellmare,6,16,15,37,36,41,-5,42.94,46.09,-3.15
Tokushima Vortis,10,6,22,36,34,55,-21,37.24,46.74,-9.5
Oita Trinita,9,8,21,35,31,55,-24,35.72,54.99,-19.27
Vegalta Sendai,5,13,20,28,31,62,-31,36.9,63.84,-26.94
Yokohama FC,6,9,23,27,32,77,-45,35.11,66.88,-31.77
