Team,Matches,W,D,L,Pts,GF,GA,GD,xG,xGA,xGDiff
Yokohama Marinos,16,9,4,3,31,30,17,13,24.81,17.63,7.18
Kashima Antlers,16,9,3,4,30,27,21,6,21.32,18.03,3.29
Kawasaki Frontale,16,9,3,4,30,20,17,3,16.39,17.22,-0.83
Kashiwa Reysol,16,8,3,5,27,22,14,8,20.98,15.67,5.31
Cerezo Osaka,16,7,5,4,26,23,16,7,19.94,19.82,0.12
FC Tokyo,16,7,4,5,25,18,14,4,15.94,18.75,-2.81
Sanfrecce Hiroshima,15,6,6,3,24,19,13,6,20.69,14.22,6.47
Sagan Tosu,16,5,9,2,24,21,16,5,16.6,15.79,0.81
Kyoto Sanga,16,5,5,6,20,16,18,-2,15.51,23.54,-8.03
Nagoya Grampus,16,5,5,6,20,14,16,-2,19.38,15.75,3.63
Consadole Sapporo,16,4,8,4,20,15,26,-11,20.56,23.15,-2.59
Avispa Fukuoka,16,4,7,5,19,11,10,1,17.1,15.82,1.28
Gamba Osaka,15,4,5,6,17,17,20,-3,16.18,21.48,-5.3
Urawa Reds,16,2,9,5,15,15,16,-1,19.509999999999998,14.77,4.74
Jubilo Iwata,16,3,6,7,15,18,25,-7,16,24.05,-8.05
Shimizu S-Pulse,16,2,7,7,13,15,24,-9,18.88,20.3,-1.42
Shonan Bellmare,16,3,4,9,13,13,23,-10,15.9,18.31,-2.41
Vissel Kobe,16,2,5,9,11,14,22,-8,19.9,21.29,-1.39
