,,,,,,,,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Att,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,32,1987,0.3,0,0,0,0,0,0.0,0.03,0.0,+0.12,1,3,33.3,5,1,40.0,44.0,1,100.0,67.0,0,0,,1,3.75,14.7,Matches
2,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,32,1986,2.0,1,0,0,0,0,0.9,0.23,-0.1,-0.04,8,22,36.4,34,5,32.4,35.6,19,57.9,43.0,17,2,11.8,0,0.00,16.5,Matches
3,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,35,1984,7.0,9,0,0,0,1,7.8,0.24,-0.2,-0.03,57,112,50.9,201,36,29.9,32.8,73,71.2,48.1,37,5,13.5,5,0.71,14.5,Matches
4,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,26,1993,3.0,3,2,0,1,0,3.5,0.69,+0.5,+0.15,13,28,46.4,77,16,20.8,29.1,19,63.2,45.9,25,0,0.0,5,1.67,14.2,Matches
5,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,30,1989,23.0,28,3,0,5,0,25.5,0.28,-2.5,-0.11,111,298,37.2,501,93,37.9,36.7,196,55.1,44.9,162,10,6.2,11,0.48,14.4,Matches
6,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,24,1995,24.0,33,4,3,2,0,31.1,0.33,-1.9,-0.08,153,436,35.1,527,93,53.9,42.3,221,68.8,53.8,167,10,6.0,8,0.33,14.0,Matches
7,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,28,1991,1.5,2,1,0,0,0,2.3,0.57,+0.3,+0.19,12,24,50.0,28,8,35.7,33.1,15,93.3,63.1,13,1,7.7,0,0.00,14.1,Matches
8,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,30,1989,14.3,18,4,1,1,0,17.4,0.31,-0.6,-0.04,77,231,33.3,302,72,48.3,39.1,119,71.4,56.9,118,8,6.8,7,0.49,12.7,Matches
9,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,27,1992,23.0,14,0,0,2,0,16.3,0.29,+2.3,+0.10,53,202,26.2,535,135,27.5,33.7,139,39.6,40.9,159,14,8.8,14,0.61,14.8,Matches
10,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,35,1984,15.0,20,0,0,6,0,19.2,0.34,-0.8,-0.06,126,351,35.9,342,58,69.6,52.0,122,92.6,67.2,106,10,9.4,21,1.40,17.8,Matches
11,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,27,1992,24.0,37,2,0,3,1,32.6,0.42,-3.4,-0.14,186,573,32.5,560,62,73.6,57.9,166,97.0,76.5,121,12,9.9,35,1.46,18.1,Matches
12,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,28,1990,11.7,20,0,1,4,0,21.0,0.30,+1.0,+0.09,87,207,42.0,268,47,48.1,38.1,105,74.3,53.4,103,4,3.9,6,0.51,13.1,Matches
13,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,23,1995,1.0,1,0,0,0,0,0.9,0.30,-0.1,-0.11,10,28,35.7,31,5,74.2,55.6,8,62.5,51.1,4,0,0.0,0,0.00,13.0,Matches
14,Fabricio\Fabricio,es ESP,GK,Mallorca,31,1987,1.0,3,2,0,1,0,1.8,0.35,-1.2,-1.23,8,17,47.1,24,6,50.0,41.0,9,55.6,47.3,5,0,0.0,1,1.00,15.3,Matches
15,Aitor Fernández\Aitor-Fernandez,es ESP,GK,Levante,28,1991,26.0,39,3,1,7,1,49.4,0.33,+11.4,+0.44,158,427,37.0,567,139,51.9,42.4,249,53.4,44.7,186,15,8.1,20,0.77,14.0,Matches
