,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Antonio Adán\Antonio-Adan,es ESP,GK,Atlético Madrid,32,1987,1,0,24,0,0.00,1,1,1.000,0,0,0,0,,0,0,0,0,Matches
2,Sergio Álvarez\Sergio-Alvarez,es ESP,GK,Celta Vigo,32,1986,4,2,180,1,0.50,4,3,.750,1,1,0,2,100.0,0,0,0,0,Matches
3,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,35,1984,7,7,630,9,1.29,32,24,.719,3,1,3,2,28.6,1,0,0,1,Matches
4,Alphonse Areola\Alphonse-Areola,fr FRA,GK,Real Madrid,26,1993,3,3,270,3,1.00,5,4,.400,3,0,0,1,33.3,2,2,0,0,Matches
5,Sergio Asenjo\Sergio-Asenjo,es ESP,GK,Villarreal,30,1989,23,23,2070,28,1.22,96,70,.708,11,3,9,6,26.1,4,3,1,0,Matches
6,Rubén Blanco\Ruben-Blanco,es ESP,GK,Celta Vigo,24,1995,24,24,2160,33,1.37,95,65,.653,4,9,11,6,25.0,4,4,0,0,Matches
7,Yassine Bounou\Yassine-Bounou,ma MAR,GK,Sevilla,28,1991,2,1,135,2,1.33,4,3,.500,1,0,0,1,100.0,1,1,0,0,Matches
8,Jasper Cillessen\Jasper-Cillessen,nl NED,GK,Valencia,30,1989,15,15,1287,18,1.26,58,43,.690,8,4,3,3,20.0,6,4,2,0,Matches
9,Thibaut Courtois\Thibaut-Courtois,be BEL,GK,Real Madrid,27,1992,23,23,2070,14,0.61,59,45,.763,13,8,2,12,52.2,0,0,0,0,Matches
10,Iván Cuéllar\Ivan-Cuellar,es ESP,GK,Leganés,35,1984,15,15,1349,20,1.33,59,39,.661,3,5,7,3,20.0,0,0,0,0,Matches
11,Marko Dmitrović\Marko-Dmitrovic,rs SRB,GK,Eibar,27,1992,24,24,2160,37,1.54,81,47,.543,6,6,12,7,29.2,3,2,1,0,Matches
12,Jaume Doménech\Jaume-Domenech,es ESP,GK,Valencia,28,1990,12,11,1053,20,1.71,71,51,.718,3,4,4,3,27.3,0,0,0,0,Matches
13,Aarón Escandell\Aaron-Escandell,es ESP,GK,Granada,23,1995,1,1,90,1,1.00,3,2,.667,0,0,1,0,0.0,0,0,0,0,Matches
