"","Season_End_Year","Squad","Comp","Player","Nation","Pos","Age","Born","Mins_Per_90","SCA_SCA","SCA90_SCA","PassLive_SCA","PassDead_SCA","Drib_SCA","Sh_SCA","Fld_SCA","Def_SCA","GCA_GCA","GCA90_GCA","PassLive_GCA","PassDead_GCA","Drib_GCA","Sh_GCA","Fld_GCA","Def_GCA","Url"
"1",2022,"Alavés","La Liga","Martin Agirregabiria","ESP","DF","25-249",1996,13.6,22,1.62,16,2,1,0,3,0,2,0.15,1,0,1,0,0,0,"https://fbref.com/en/players/355c883a/Martin-Agirregabiria"
"2",2022,"Alavés","La Liga","Mircea Alexandru Tirlea","ROU","DF","21-292",2000,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/683a1d81/Mircea-Alexandru-Tirlea"
"3",2022,"Alavés","La Liga","Rubén Duarte","ESP","DF","26-088",1995,16.4,23,1.4,11,9,0,0,2,1,3,0.18,0,2,0,0,1,0,"https://fbref.com/en/players/1fe0492d/Ruben-Duarte"
"4",2022,"Alavés","La Liga","Gonzalo Escalante","ARG","MF","28-293",1993,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/3f79a1c8/Gonzalo-Escalante"
"5",2022,"Alavés","La Liga","Manu García","ESP","MF","24-012",1998,7.6,23,3.02,12,8,1,1,1,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6ed1a2a2/Manu-Garcia"
"6",2022,"Alavés","La Liga","Saúl García","ESP","FW","27-066",1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/dafa5038/Saul-Garcia"
"7",2022,"Alavés","La Liga","John Guidetti","SWE","FW,MF","29-274",1992,3,10,3.28,5,0,1,0,2,2,3,0.99,1,0,0,0,1,1,"https://fbref.com/en/players/99bebd12/John-Guidetti"
"8",2022,"Alavés","La Liga","Jason","ESP","MF","27-192",1994,0.4,1,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9038c2a1/Jason"
"9",2022,"Alavés","La Liga","Joselu","ESP","FW","31-293",1990,18.5,40,2.16,24,1,1,6,6,2,5,0.27,2,0,0,1,1,1,"https://fbref.com/en/players/6265208f/Joselu"
"10",2022,"Alavés","La Liga","Víctor Laguardia","ESP","DF","32-070",1989,17.9,3,0.17,0,2,0,1,0,0,1,0.06,0,0,0,1,0,0,"https://fbref.com/en/players/b7c99b9b/Victor-Laguardia"
"11",2022,"Alavés","La Liga","Florian Lejeune","FRA","DF","30-239",1991,13,4,0.31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6eaed4eb/Florian-Lejeune"
"12",2022,"Alavés","La Liga","Javi López","ESP","DF","20-013",2002,3,5,1.65,3,1,1,0,0,0,1,0.33,1,0,0,0,0,0,"https://fbref.com/en/players/e9ada8cf/Javi-Lopez"
"13",2022,"Alavés","La Liga","Iván Martín","ESP","MF","22-334",1999,1.8,2,1.08,2,0,0,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/ae48c5cb/Ivan-Martin"
"14",2022,"Alavés","La Liga","Édgar Méndez","ESP","FW,MF","32-012",1990,7.7,12,1.57,10,0,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/aed746df/Edgar-Mendez"
"15",2022,"Alavés","La Liga","Matt Miazga","USA","DF","26-179",1995,7.3,3,0.41,1,0,0,2,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/9fc0f253/Matt-Miazga"
