,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,
Rk,Player,Nation,Pos,Squad,MP,Starts,Min,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Matches
1,Enrico Alfonso\Enrico-Alfonso,it ITA,GK,Brescia,3,3,270,4,1.33,11,7,.636,1,0,2,1,33.3,0,0,0,0,Matches
2,Emil Audero\Emil-Audero,it ITA,GK,Sampdoria,20,20,1800,33,1.65,94,63,.649,5,4,11,6,30.0,2,2,0,0,Matches
3,Etrit Berisha\Etrit-Berisha,al ALB,GK,SPAL,20,20,1800,27,1.35,111,86,.757,4,3,13,2,10.0,4,4,0,0,Matches
4,Gianluigi Buffon\Gianluigi-Buffon,it ITA,GK,Juventus,7,7,630,7,1.00,22,15,.682,6,1,0,1,14.3,1,0,0,1,Matches
5,Andrea Consigli\Andrea-Consigli,it ITA,GK,Sassuolo,15,15,1350,29,1.93,73,50,.603,5,1,9,2,13.3,5,4,1,0,Matches
6,Antonio Donnarumma\Antonio-Donnarumma,it ITA,GK,Milan,1,0,,0,,,,,0,0,0,0,,0,0,0,0,Matches
7,Gianluigi Donnarumma\Gianluigi-Donnarumma,it ITA,GK,Milan,19,19,1710,25,1.32,80,58,.688,7,4,8,7,36.8,4,2,2,0,Matches
8,Bartłomiej Drągowski\Bartlomiej-Dragowski,pl POL,GK,Fiorentina,20,20,1800,29,1.45,83,55,.651,6,6,8,5,25.0,2,1,1,0,Matches
9,Gabriel\Gabriel,br BRA,GK,Lecce,20,20,1800,39,1.95,125,91,.688,3,7,10,1,5.0,7,6,1,0,Matches
10,Pierluigi Gollini\Pierluigi-Gollini,it ITA,GK,Atalanta,17,17,1530,25,1.47,57,36,.561,8,5,4,4,23.5,3,3,0,0,Matches
11,Samir Handanović\Samir-Handanovic,si SVN,GK,Inter,20,20,1800,17,0.85,70,55,.757,14,5,1,7,35.0,2,1,1,0,Matches
12,Jesse Joronen\Jesse-Joronen,fi FIN,GK,Brescia,17,17,1530,34,2.00,93,65,.634,3,3,11,4,23.5,6,5,1,0,Matches
13,Pau López\Pau-Lopez,es ESP,GK,Roma,19,19,1710,22,1.16,72,54,.694,11,4,4,4,21.1,6,6,0,0,Matches
14,Federico Marchetti\Federico-Marchetti,it ITA,GK,Genoa,1,0,,0,,,,,0,0,0,0,,0,0,0,0,Matches
15,Alex Meret\Alex-Meret,it ITA,GK,Napoli,13,13,1170,20,1.54,51,32,.608,4,4,5,3,23.1,3,2,1,0,Matches
16,Antonio Mirante\Antonio-Mirante,it ITA,GK,Roma,1,1,90,0,0.00,2,2,1.000,0,1,0,1,100.0,0,0,0,0,Matches
17,Juan Musso\Juan-Musso,ar ARG,GK,Udinese,20,20,1800,31,1.55,88,61,.648,7,3,10,7,35.0,7,6,1,0,Matches
18,Robin Olsen\Robin-Olsen,se SWE,GK,Cagliari,15,15,1344,20,1.34,69,54,.710,7,5,3,3,20.0,4,4,0,0,Matches
19,David Ospina\David-Ospina,co COL,GK,Napoli,7,7,630,8,1.14,25,17,.680,2,2,3,1,14.3,1,1,0,0,Matches
20,Gianluca Pegolo\Gianluca-Pegolo,it ITA,GK,Sassuolo,3,3,270,2,0.67,20,19,.900,1,1,1,2,66.7,0,0,0,0,Matches
21,Mattia Perin\Mattia-Perin,it ITA,GK,Genoa,3,3,270,6,2.00,14,10,.571,1,0,2,0,0.0,1,1,0,0,Matches
22,Ionuț Radu\Ionut-Radu,ro ROU,GK,Genoa,17,17,1530,35,2.06,89,61,.607,2,5,10,2,11.8,7,6,0,1,Matches
23,Rafael\Rafael,br BRA,GK,Cagliari,6,5,453,11,2.19,15,6,.267,1,1,3,0,0.0,3,2,0,1,Matches
24,Pepe Reina\Pepe-Reina,es ESP,GK,Milan,2,1,90,1,1.00,5,4,.800,1,0,0,0,0.0,1,0,1,0,Matches
25,Luigi Sepe\Luigi-Sepe,it ITA,GK,Parma,20,20,1800,27,1.35,113,86,.761,8,4,8,4,20.0,2,1,1,0,Matches
26,Marco Silvestri\Marco-Silvestri,it ITA,GK,Hellas Verona,19,19,1710,22,1.16,77,58,.714,7,5,7,6,31.6,5,5,0,0,Matches
27,Salvatore Sirigu\Salvatore-Sirigu,it ITA,GK,Torino,20,20,1800,28,1.40,103,78,.728,8,3,9,5,25.0,4,3,1,0,Matches
28,Łukasz Skorupski\Lukasz-Skorupski,pl POL,GK,Bologna,20,20,1800,32,1.60,88,58,.636,6,6,8,2,10.0,3,2,0,1,Matches
29,Marco Sportiello\Marco-Sportiello,it ITA,GK,Atalanta,3,3,270,3,1.00,13,10,.769,2,0,1,1,33.3,0,0,0,0,Matches
30,Thomas Strakosha\Thomas-Strakosha,al ALB,GK,Lazio,19,19,1710,18,0.95,72,56,.750,14,3,2,6,31.6,2,1,1,0,Matches
31,Wojciech Szczęsny\Wojciech-Szczesny,pl POL,GK,Juventus,13,13,1170,12,0.92,60,51,.800,10,2,1,5,38.5,5,3,1,1,Matches
32,Stefano Turati\Stefano-Turati,it ITA,GK,Sassuolo,2,2,180,4,2.00,11,8,.636,0,2,0,0,0.0,1,1,0,0,Matches
